序号,原名称,核实后名称,装机容量MW,省,市,区,详细地址,电场名称线索文本,电场名称线索参考地址,装机容量线索文本,装机容量线索参考地址,确信度,搜索状态,搜索关键词,经度,纬度,地理编码结果
1,七棵树、多依树,建水七棵树风电场,193.6,云南省,红河州,建水县,云南省红河州建水县东部（南片区：普雄乡/坡头乡/临安镇五老峰；北片区：面甸镇过鲊村）,新天绿色能源云南建水七棵树风电场,https://news.bjx.com.cn/html/20160425/727565.shtml,193.6MW,https://news.bjx.com.cn/html/20160425/727565.shtml,高,地理编码成功,云南省红河州建水县东部（南片区：普雄乡/坡头乡/临安镇五老峰；北片区：面甸镇过鲊村）,103.047951,23.71184,success: detail_address
2,三月山,武定三月山风电场,48,云南省,楚雄州,武定县,云南省楚雄州武定县白路镇、高桥镇、猫街镇交界处三月山山脊,武定三月山风电场48MW工程,https://www.bidcenter.com.cn/newscontent-19406727-1.html,48MW,https://www.bidcenter.com.cn/newscontent-19406727-1.html,高,地理编码成功,云南省楚雄州武定县白路镇、高桥镇、猫街镇交界处三月山山脊,102.167597,25.544885,success: detail_address
3,中营风电,宜良中营风电场,80,云南省,昆明市,宜良县,云南省昆明市宜良县狗街镇和竹山镇一带,华润电力云南公司宜良中营风电场,https://m.bjx.com.cn/mnews/20230728/1322227.shtml,80MW,https://m.bjx.com.cn/mnews/20230728/1322227.shtml,高,地理编码成功,云南省昆明市宜良县狗街镇和竹山镇一带,103.1458,24.68076,success: detail_address
4,云海风电,云南麻栗坡云海风电场,100,云南省,文山州,麻栗坡县,云南省文山州麻栗坡县麻栗镇、下金厂乡、云海风电场（下金厂乡云海风电场）,中广核新能源云南云海风电场,https://www.dlzb.com/d-zb-42258472.html,100MW,https://news.sina.com.cn/zx/gj/2025-05-11/doc-ineweumx2276168.shtml,高,地理编码成功,云南省文山州麻栗坡县麻栗镇、下金厂乡、云海风电场（下金厂乡云海风电场）,104.752045,23.196694,success: detail_address
5,五台山（含三期）,曲靖五台山风电场,136,云南省,曲靖市,麒麟区,云南省曲靖市麒麟区珠街街道五台山,云南五台山136MW风电项目,https://news.bjx.com.cn/html/20160318/717212.shtml,136MW,https://m.bjx.com.cn/mnews/20141029/558973.shtml,高,地理编码成功,云南省曲靖市麒麟区珠街街道五台山,103.967333,25.498409,success: detail_address
6,五垴山,通海五垴山风电场,48,云南省,玉溪市,通海县,云南省玉溪市通海县杨广镇（与华宁县交界区域）,云南省玉溪市通海县五垴山风电场项目,https://www.docin.com/p-1281141894.html,48MW,https://www.docin.com/p-1281141894.html,高,地理编码成功,云南省玉溪市通海县杨广镇（与华宁县交界区域）,102.81796,24.17006,success: detail_address
7,五子坡（含三期）,华能大理五子坡风电场,148.5,云南省,大理州,,云南省大理州弥渡县/巍山县/大理市下关镇交界处山脊和台地,华能大理五子坡148.5MW风电工程,https://wind.in-en.com/html/wind-2251192.shtml,148.5MW,https://guangfu.bjx.com.cn/b2b/News/518730/news_view.html,高,地理编码成功,云南省大理州弥渡县/巍山县/大理市下关镇交界处山脊和台地,100.2568,25.537847,success: detail_address
8,仙人洞,仙人洞坡风电场,350,云南省,红河州,开远市,云南省红河州开远市灵泉街道、小龙潭镇交界处山脊,开远市仙人洞坡风电场,https://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202203/t20220307_238004.html,350MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_632645b2a6514152,高,地理编码成功,云南省红河州开远市灵泉街道、小龙潭镇交界处山脊,103.248003,23.708158,success: detail_address
9,冒天水风电场,富源西风电场（冒天水片区）,100,云南省,曲靖市,富源县,云南省曲靖市富源县中安街道多乐村至墨红镇三台村一带山梁,富源西风电场二期(冒天水片区),https://wind.imarine.cn/news/20943.html,100MW,https://wind.imarine.cn/news/20943.html,高,地理编码成功,云南省曲靖市富源县中安街道多乐村至墨红镇三台村一带山梁,104.25765,25.67903,success: detail_address
10,凤凰风电,待核实-疑似名称不完整,45,云南省,,,未找到（45MW云南凤凰风电场无公开信息，疑似名称不完整或数据错误；注：师宗丹凤风电场300MW，非同一项目）,未找到明确的云南凤凰风电场（45MW）,https://www.sohu.com/a/856132551_121956424,,,低,地理编码成功,凤凰风电场 云南 建设地点;凤凰山风电场 云南 45MW;丹凤风电场 师宗 300MW,100.101828,23.914964,success: province_city_district_detail
